Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.pytelgranuli.cz/biokat--s-bianco-fresh-control-podestylka-10kg/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.lepidlatmely.cz/loctite-sf-7900-400-ml-aerodag-ceramishield/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.trendi.cz/halenka-isla/?parameterValueId=240
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.favab.cz/damska-moda/damske-tricko-v-smaragdovo-zelene-barve-lacik-3-4-sw/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://eshop.nobl.cz/stoly-rohove/stul-ergo-vlna-pravy-160--120-80-cm-hobis-cross-ce-2005-p/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.all4boats.store/spodni-dil-vrchniho-dilu-druku-pro-nyt-z-poniklovane-mosazi/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.swim-fit-yoga.cz/esencialni-olej-do-aromadifuzeru-eukalyptus/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.backorky.cz/skolni-batohy-a-aktovky-pro-prvni-stupen-zs/skolni-batoh-coocazoo-jobjobber2--green-purple-district/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.bewear.cz/baseus-palubni-drzak-telefonu-nad-volant-cerny/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.molpir-dezinfekce.cz/dezinfekcni-gel--62-alkoholu--s-glycerinem--kyselinou-hyaluronovou--lemon-grass--pro-pouziti-v-davkovaci-dezinfekce--1l/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.drahomirajelinkova.cz/parfemy-a-kolinske-vody/parfemova-voda-corallo-profumo-corallo-acqua-di-bolgheri/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.bio-makeup.cz/pletovy-krem-konopny-olej--salvej--materidouska-a-tea-tree/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.ajashop.cz/matrace-do-postylek--kolebek--kosu/baby-matex-ortopedicka-matrace-dual/
Ostatní zákazníci také nakoupili:;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.willsoor.cz/p/11896-panske-polo-tricko-cervene-barvy-s-tmave-modrymi-puntikovanymi-prvky/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.helios-zlato.cz/retizky/stribrny-nahrdelnik-srdce-v-kruhu/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.govitalife.cz/neera-detox-kura-desetidenni-1-5l-darek-zdarma/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.spalek-ski.cz/boty-2/boty-na-bezky-fischer-xc-comfort-pro-my-style/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.partico.cz/balonek-foliovy-olaf--ledove-kralovstvi--58x104-cm/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.biokralovna.cz/sprchove-gely-a-oleje/osvezujici-sprchovy-gel-natura-siberica-250-ml/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.cwshop.cz/ecosoft-dewberry-shape-3-5-l-filtracni-konvice-oranzova-3-nahradni-filtry-zdarma/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.elegantnidekorace.cz/panely-a-zasteny/pegboard-domek-500x500-s-kominem-a-oknem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;http://www.tweezers.cz/kleste-na-nehty-s-nastrojem-na-upravu-kuze-kolem-nehtu-mr-green/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.windsurfingkarlin.cz/kite-nafukovaci/nafukovaci-kite-rrd-emotion-mk3-orange-graay/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.w40k.cz/warhammer-40-000--chaos-space-marine-helbrute/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.elmetfire.cz/rgb-led-pasek-s-dalkovym-ovladanim-5-m-znackova-kvalita/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.sportaczech.cz/detska-cepice-fleecova-spadena--sharp-kluk/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.hospodynkam.cz/smes-na-duhovy-dort-rainbow-600g/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.royzo.cz/jezevcik-dlouhosrsty-hnedy-leskla-cedulka/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.withus.cz/damske-kabelky/kabelka-replay-with-shoulder-strap-cerna/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.domoshop.cz/regal-se-4-supliky-infinity-grey-30-x-36-x-69-cm-curver/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.svet-drezu.cz/drezova-baterie-sinks-legenda-s-metalblack/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.shop-klimatizace.cz/chigo-mobilni-klimatizace-wide-marin-2-6-kw-r290/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rozabel.cz/balzamy--kremy--masti-a-oleje/mangovy-krem-pro-suchou-a-citlivou-pokozku-60-ml-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.padakovka.cz/paracord-privesky/paracord-privesek-s-microcordem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.mlsport.cz/bellyboat-savage-gear-highrider-170/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.crazypaws.cz/obojek-a-voditko-pro-psa-vyhodny-set/plochy-obojek-a-voditko-oranzovy-set/
Ostatní zákazníci také nakoupili:;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.nosferatu.cz/p/122798-boty-dr-martens-8-dirkove-1460-green-smooth-dm10072310-dm11822207-poskozene-/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.nehtik.cz/depilace/italwax-cukrova-pasta-v-plechovce-400-g-ultrasoft/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.winehouse.cz/zbozi/rum-santos-dumont-xo-gewurztraminer--40-0-7l/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.fiftydrinks.cz/green-apotheke-pomazanka-cokotela-s-datlemi-bio-140g/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.primagastro.cz/zmekcovace-vody-2/filtr-k-vyrobnikum-ledu-cube-line/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.velkoobchodmarik.cz/profesionalni-cvicne-hlavy/milena-omc-soutezni-hlava-platinum-blond/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://obchod.dogfitness.cz/menforsan/menforsan-antiparazitni-sprej-pro-psy-proti-klistatum-a-blecham-s-extraktem-z-margosy/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.francobene.cz/stribrne-hodinky-se-stribrnym-kovovym-paskem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.nejlevnejsi-kamna.cz/krbova-kamna-prity-s-troubou-s-tv-fgw18r/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.topgranulka.cz/nutrilove-granule-pes--citlive-traveni--sensitive--jehne-ryze-12kg/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.fitami.cz/nahradni-reminky-apple-watch/elegantni-reminek-pro-apple-watch-v-milanskem-stylu-pink-gold/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.koupit-krmivo.cz/platinum-natural-adult-iberico-se-zeleninou-15-kg/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.mohaji.cz/kava-exclusive-espresso-blend/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.superheroshop.cz/zbozi/damske-tricko-avengers-stronger-together/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.bioboutique.cz/hygienicke-potreby/bio-organyc-damske-vlozky-extra-silne-prodlouzene-new-10ks/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.naturbites.cz/cretan-farmers---dressing-s-chilli-paprickami-do-salatu-a-na-marinovani-pro-ty---co-to-maji-radi-ostre--/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.svetzarovek.eu/led-pasek-24v-600-20w-vnitrni-zaruka-3-roky-denni-bila/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.borousky.cz/antibakterialni-gel-cannabis-50-ml/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rewer.cz/spokey-volver-elektricka-kolobezka-cervena--kolecka-8-baterie-7-8-ah--do-120-kg-vystavene-zbozi/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.vapka-eshop.cz/nilfisk-premium-190-12-power-eu/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://eshop.hilarion.cz/rousky_a_ochrana_obliceje/respirator-ffp2--20ks--jednotlive-baleny/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.enzymybio.cz/tierra-verde-puer---belici-prasek--pap--sacek-1-kg/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.lesniskritek.cz/softshell-bundy/baja-design-softshellova-bunda-ruzove-kostky/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.jenicek-vseprodite.cz/3-dilne-povleceni/mamo-tato-3-dilny-set-do-postylky-s-mantinelem-minky-hvezdicky-zelene/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.kuchynske-noze.cz/dmt-brusny-kamen-hruby-dmtd11c/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rcmodelari.cz/axial-scx24-jeep-wrangler-jlu-crc-2019-1-24-4wd-rtr-zluty/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;http://www.vija.cz/prislusenstvi/specialni-kluzne-rameno-pro-pohon-somfy-axovia-multipro/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.ramisport.cz/filtr-do-rousky-10ks-pro-dospele--ucinnost-zachytu-viru--minimalne-81--/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.xcase.cz/kufry-na-drony/nanuk-920-dji-mavic-odolny-kufr/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.compik.cz/herni-pc-sestavy/high-end-herni-pc-amd-ryzen-9-3900x--32gb--nvidia-rtx-3080-10gb--256gb-nvme-ssd-1tb-ssd--750w-w10pro/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.renopro.cz/mobilni-tryskaci-zarizeni-applied-20/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.klukoviny.cz/dreveny-motylek/elizabeth-i/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.desami.cz/bryndak/silikonovy-bryndak-mramor/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rommar.cz/hybrid-solutions-keramicka-lestenka-a-vosk/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.dashop.cz/krasa-a-zdravi/braun-series-9-9325s-wet-dry/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.pesoliver.cz/pelech-victoria-cerny-ekolen/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.maxlumen.cz/led-zarivky-60cm/led-trubice-t8-n60-60cm-8w-denni-bila-led-zarivka/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.rychla-dodavka.cz/aqualine-simplex-eco-zavesna-skrinka-30x60x24cm-sime330/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.zahradajezek.cz/polykarbonatove-obloukove-skleniky/zahradni-sklenik-z-polykarbonatu-gardentec-classic-6/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.tvorboshop.cz/prodlouzeni-obvodu-podprsenky-bez-pruzenky-sire-35-mm-dvourade-2/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.elhatec.cz/zbozi/combi-plus-washer-podlahovy-myci-stroj-s-odsavanim/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.viviencosmetics.cz/kondicionery-a-masky/balzam-na-vlasy-s-arganovym-olejem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.brumla.com/olejovy-filtr-hf116-e26986.htm
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://obchod.bytbyt.cz/kompletne-vybavane-michaci-zarizeni-75-litru-romus-95725/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.luxusnislipy.cz/happy-boxer-modre-andrew-christian/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.fashionshack.cz/panska-tricka/panske-modre-tricko-napapijri-s-velkym-logem/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.poofi.cz/detske-deky-a-prikryvky/pletena-prikryvka-organic-color-cornknit-tmave-zelena/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.ledveci.cz/led-reflektor-2x50w-se-stativem-a-3m-kabelem/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.bettymode.com/detske-pyzamo-barevne-stroje-kratky-rukav/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.skier.cz/obuv/lowa-sirkos-evo-gtx-lo-lady-anthracite-berry/
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.benymarket.cz/asijske-potraviny/vh-jidasovo-ucho-susene-100g/
OSTATNÍ ZÁKAZNÍCI TAKÉ NAKOUPILI;In a popup;Misdirection;Pressured selling;Product detail;??;https://www.ekovovyroba.cz/kolecka/stavebni-kolecko-profi-80l-ksln03-pu-s-polyuretanovym-kolem-a-kulickovymi-lozisky/
Pro zvyšování Vaší spokojenosti využívá náš web soubory cookies, které slouží k měření funkčnosti a poskytování služeb. Používáním webu souhlasíte s využíváním cookies. OK;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.timex-hodinky.com/roamer-508293471505/
ÚVODOBCHODNÍ PODMÍNKYKONTAKTPÉČE O VÝROBKYGDPRCOOKIESDOPRAVA;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.svet-textilu.cz/?action=detail&id=ID7627&catg=1109
Cookies používáme ke zlepšení vašeho zážitku na našich webových stránkách. Procházením této webové stránky souhlasíte s naším používáním cookies.;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.bbqstore.cz/product/outdoorchef-obal-a-line-455-2/
Stejně jako všechny jiné e-shopy, které používají košík, ani my se neobejdeme bez použití cookiesRozumím;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.zdravi-vitaminy-doplnky.cz/eshop/detoxikace-cisteni-organizmu/pampeliska-smetanka-lekarska-koren-100g-detail
Prohlášení o webu Obchodní podmínky Mapa stránek Nákupní košík Cookies Ochrana osobních údajů;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.lemberk.cz/eshop/ochranna-bezpecnostni-prepazka-korona
Pro zvyšování Vaší spokojenosti využívá náš web soubory cookies, které slouží k měření funkčnosti a poskytování služeb. Používáním webu souhlasíte s využíváním cookies.  více informací  rozumím;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.emporiolashes.cz/sampon-pro-podporu-vlasoveho-rustu/
Tento web používá soubory cookies. Používáním tohoto webu souhlasíte s ukládáním a používáním souborů cookies.Více informací o cookies.Souhlasím;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.orfa-nabytek.cz/skrinky-do-kuchyne/junona-line-skrinka-g1d-40-57-lp-wenge-dub-sonoma
K ukládání nastavení a správnému fungování těchto stránek využíváme soubory cookies. Používáním webu s jejich používáním souhlasíte. Více o cookiesSouhlasím;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.allbags.cz/cs/panske-penezenky/91-panska-kozena-penezenka-lagen-1998-svetle-hneda.html
K optimalizaci fungování našeho webu používáme cookies. Zjistit více o cookiesRozumím;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://poly.cz/vrtak-s-valcovou-stopkou-kratky-levorezny-hss-2800mm-csn-221180
Chceme Vám, našim zákazníkům, co nejvíce zpříjemnit nákup a k poskytování služeb, personalizaci reklam a analýze návštěvnosti využíváme cookies. Používáním webu nejlepsi-darecky.cz s používáním cookies souhlasíte (čtení).;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.nejlepsi-darecky.cz/diamantove-malovani-deluxe-jednorozec
Chceme Vám, našim zákazníkům, co nejvíce zpříjemnit nákup a k poskytování služeb, personalizaci reklam a analýze návštěvnosti využíváme cookies. Používáním webu Darky.cz s používáním cookies souhlasíte (čtení).;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.darky.cz/diamantove-malovani-basic-jelen
Pro zvyšování vaší spokojenosti využívá náš web soubory cookies, které slouží k měření funkčnosti a poskytování služeb. Používáním webu souhlasíte s využíváním cookies. OK;Cookie bar;Forced Action;Forced Enrollment;Product detail;No;https://www.zdrava-mast.cz/pripravky-na-problematickou-plet/
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Heureka Ověřeno zákazníky a předáním údajů za účelem nezávislého hodnocení nákupu.;;Misdirection;Trick Questions;Checkout Process;No;https://www.pilsenyoyo.cz/yoyo/pokrocili/shutter-splash-modrasvetle-modra.htm
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby;;Misdirection;Trick Questions;Checkout Process;No;https://www.fandora.cz/westmark-mlynek-na-sul-a-pepr-nerezovy-traditionell-e135877.htm
Nesouhlasím se zasláním dotazníku spokojenosti v rámci programu Ověřeno zákazníky, který pomáhá zlepšovat vaše služby;;Misdirection;Trick Questions;Checkout Process;No;https://krbovky.eu/index.php/zdere-kominove-1,5mm/HSF25-099-detail
Naši zákazníci s tímto produktem také kupují;In a popup;Social Proof;Activity Message;Product detail;??;https://www.zindie.cz/konferencni-stoly/designovy-konferencni-stolek-z-akacioveho-dreva-s-kovovymi-nohami/
"Pokračovat do košíku 
K tomuto zboží si zákazníci zakoupili";After adding item to cart;Social Proof;Activity Message;Other page;??;https://www.kralovske-spani.cz/pridano-do-kosiku/
Na základě 1 hodnocení;;Social Proof;Activity Message;Product detail;??;https://www.hervis.cz/store/Vybaven%C3%AD/J%C3%ADzdn%C3%AD-kola/D%C4%9Btsk%C3%A1-kola/Cygnus/Light-Speed-16/p/COLOR-2719029#reviews
Tento týden zakoupili 3 zákazníci;;Social Proof;Activity Message;Product detail;No;https://www.kutiliste.cz/sklenik-gutta-gardentec-classic-rozmery-2-x-3-m-zaskleni-polykarbonat-4-mm
Poslední kusy v EU;;Scarcity;Low-stock Message;Product detail;??;https://www.kutiliste.cz/sklenik-gutta-gardentec-classic-rozmery-2-x-3-m-zaskleni-polykarbonat-4-mm
;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.kutiliste.cz/sklenik-gutta-gardentec-classic-rozmery-2-x-3-m-zaskleni-polykarbonat-4-mm#detail-3
K tomuto zboží zákazníci nejčastěji nakupují;In a popup;Social Proof;Activity Message;Product detail;??;https://www.cistedrevo.cz/dreveny-ohybany-stojanek-na-mobil-svetly
Přihoď si užitečný doplněk se slevou 10%;;Misdirection;Pressured selling;Cart Detail;No;https://www.innocentstore.cz/kosik/product?id_product=13603
Už jenom 460 Kč a máte poštovné zdarma!;;Misdirection;Pressured selling;Cart Detail;No;https://www.innocentstore.cz/kosik/product?id_product=13603
Tento produkt si právě prohlíží 3 zákazníci.;;Social Proof;Activity Message;Product detail;No;https://www.tvproducts.cz/cz/detail/zahradni-sestava---skladaci-stolek--2-zidle-filo
"Tento produkt byl naposledy objednán včera.
Petr, Mirovice";;Social Proof;Activity Message;Product detail;No;https://www.tvproducts.cz/cz/detail/zahradni-sestava---skladaci-stolek--2-zidle-filo
Získejte dárek zdarma nakupte ještě za 1 922 Kč;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.harera.cz/awa-superfoods-cizrna-500g-p9341/
"
Pro dopravu zdarma nakupte ještě za 1 412 Kč";In a popup;Misdirection;Pressured selling;Product detail;No;https://www.harera.cz/awa-superfoods-cizrna-500g-p9341/
Zákazníci s tímto zbožím také kupují;;Misdirection;Pressured selling;Product detail;No;https://www.harera.cz/awa-superfoods-cizrna-500g-p9341/
ZÁKAZNÍCI K TOMUTO NAKUPUJÍ;;Misdirection;Pressured selling;Product detail;No;https://www.jastcz.cz/kovovy-nabytek/m6490-sklopny-plech/#params
Tento týden zakoupili 2 zákazníci;;Social Proof;Activity Message;Product detail;No;https://www.oknodily.cz/decentis-dverni-samozavirace/decentis-dverni-samozavirac/
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.pricniky.cz/autoboxy/hapro/carver-6-5-antracit
Zákazníci k tomuto zboží dále nakupují5;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bozp-bezpecnost.cz/Popaleninova-souprava-c-4-prumysl-WATER-JEL-d359.htm
Zákazníci k tomuto zboží dále nakupují 6;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.babyhit.cz/luxusni-detska-panenka-miminko-berbesa-valentina-28cm
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.as-tex.cz/Pouzdro-na-pistoli-s-dvojim-jistenim-molle-pencott-greenzone-gen-2-d309.htm
Zákazníci k tomuto zboží dále nakupují 14;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.myci-stroje-vysavace.cz/Profesionalni-vysavac-Ghibli-AS-27IK-d422.htm
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.apisdigital.cz/Micro-USB-OTG-redukce-d31.htm
Zákazníci k tomuto zboží dále nakupují 7;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.petovecek.cz/Profesor-astrokocour-Pod-hladinou-d652.htm
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.lapacehmyzu.cz/Hathor-792-LG-d45.htm
Zákazníci k tomuto zboží dále nakupují 2;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.drzakyastolky.cz/kvalitni-levny-otocny-sklopny-delkove-nastavitelny-drzak-na-monitory-a-televizory-fiber-mounts-fm233
Zákazníci k tomuto zboží dále nakupují 3;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.bratrilestinove.cz/Degustacni-baleni-KONZERVATIVNI-Espresso-3x100g-d104.htm
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.elektro-naradi.cz/Proxxon-THERMOCUT-230-E-tepelna-rezacka-polystyrenu-27080-d334.htm
Zákazníci k tomuto zboží dále nakupují 1;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.all4style.cz/Kabelka-hadi-The-Victoria-Shoulder-Bag-in-Exotic-crossbody-pres-rameno-zlate-doplnky-nova-kolekce-d252.htm
Zákazníci k tomuto zboží dále nakupují 4;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.nej-dekorace.cz/Polstarek-pod-snubni-prstynky-z-tmave-juty-a-bileho-kvetu-d55.htm
Zákazníci k tomuto zboží dále nakupují 4;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.trx-baterie.cz/Nabijecka-Akyga-AK-CH-02-USB-nabijecka-do-auta-neoriginalni-d1965.htm
Zákazníci k tomuto zboží dále nakupují 3;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.vzduchotechnika1.cz/matice-6hr-m8-din-934-baleni-200-ks
Zákazníci k tomuto zboží dále nakupují 17;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.antiquanova.cz/7-DNI-ROZKOSE-sada-7-replik-erotickych-zetonu-Rim-1stol-po-Kr-d283.htm
Zákazníci k tomuto zboží dále nakupují 3;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.spoutana.cz/Kovany-Obojek-s-Okovy-na-Zapesti-195Kc-den-d1944.htm
Zákazníci k tomuto zboží dále nakupují4;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.khhriste.cz/Detske-hriste-Monkey-s-Home-Maly-pirat-JOE-d4008.htm
Zákazníci k tomuto zboží dále nakupují 4;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.centrumteras.cz/WPC-plotova-deska-1000x100x13mm-stone-grey-d1373.htm
Zákazníci k tomuto zboží dále nakupují 8;In a popup;Misdirection;Pressured selling;Product detail;No;https://www.sasu.cz/Kosmeticky-set-petrolejovy-lem-kapky-d131.htm
