Pattern String;Comment;Pattern Category;Pattern Type;Where in website;Deceptive;Website Page;Domain
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nakupvsechno.cz/zbozi/respirator-ffp2-detsky-modry-1-ks/;www.nakupvsechno.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.namasteshop.cz/jogamatky/detail-jogova-podlozka-sugarmat-dream-of-marrakesh-jardin-majorelle/;www.namasteshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.naprivlac.cz/dragonfly-popper-2/imitace-vazky-river2sea-dragonfly-popper--green-brown--/;www.naprivlac.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.naturbites.cz/cretan-farmers---dressing-s-chilli-paprickami-do-salatu-a-na-marinovani-pro-ty---co-to-maji-radi-ostre--/;www.naturbites.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.ne-vinnedarky.cz/body-tip-ovocny-koktejl-darkova-kazeta-s-hroznovym-vinem/;www.ne-vinnedarky.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nehtik.cz/depilace/italwax-cukrova-pasta-v-plechovce-400-g-ultrasoft/;www.nehtik.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nejlevnejsi-kamna.cz/krbova-kamna-prity-s-troubou-s-tv-fgw18r/;www.nejlevnejsi-kamna.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.neozen.cz/detoxikace-organismu/ocistna-kura-trizones/;www.neozen.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nite-ize.cz/multifunkcni-penezenka-s-blokaci-rfid-nite-ize-financial-tool-rfid-blocking/;www.nite-ize.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nutritio.cz/sonnentor-provensalske-koreni-bio-25--g/;www.nutritio.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.obalis.cz/papirove-tasky/papirova-taska-hneda-s-kroucenym-uchem-18x8x24-cm/;www.obalis.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.obchod-latkovepleny.cz/ctvercova-plena-kikko-stare-casy-bila/;www.obchod-latkovepleny.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.obuv.net/damska-lodicky-celorocni-tamaris-dc-1-22421-26-bila/;www.obuv.net
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.od-farmare.cz/hovezi-klobasa-s-jalovcem-200-g/;www.od-farmare.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.otehotnet.cz/adiel-fertilona-forte-plus-vitaminy-pro-zeny-60-kapsli/;www.otehotnet.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.packsea.cz/3m--4910f-akrylova-penova-paska-vhb/;www.packsea.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.padakovka.cz/paracord-privesky/paracord-privesek-s-microcordem/;www.padakovka.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.paracord.cz/shock-cord-elasticke-lanko-piskova/;www.paracord.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.partico.cz/balonek-foliovy-olaf--ledove-kralovstvi--58x104-cm/;www.partico.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.partykostym.cz/klipy-na-balonky-zafixovani-nafouknutych-balonku/;www.partykostym.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.pepovasleva.cz/pece-o-telo/multifunkcni-zehlicka-na-vlasy-a-vousy-styler-men/;www.pepovasleva.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.perfect-dress.eu/bile-prodysne-tenisky-s-tkanickami-sitovane-panske-boty-ruzne-barvy/;www.perfect-dress.eu
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.pesoliver.cz/pelech-victoria-cerny-ekolen/;www.pesoliver.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.petsmile.cz/granule-pro-psy/tow-southwest-canyon-canine-12-2kg/;www.petsmile.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.phoneparts.cz/iphone-lightning/iphone-nabijeci-kabel/;www.phoneparts.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.polarshop.cz/polar-vantage-v2-hr-cycling-bundle/;www.polarshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.portum.cz/hrebeny-a-kartace/cestovni-kartac-na-vousy-the-bluebeards-revenge/;www.portum.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.povlecemevas.cz/detske-licencni-bavlnene-povleceni-140x200-70x90-lego-city-zachranari/;www.povlecemevas.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;http://www.pradlo-sexy.cz/doplnky-13/gel-na-zpevneni-poprsi-braup-pearl-voluplus-formula-150ml-lovely-lovers/;www.pradlo-sexy.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.pradlonatelo.cz/panske-pyzamo-s-kratkym-rukavem-italian-fashion-gonzo/;www.pradlonatelo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.prodej-plotu.cz/betonovy_plot/baumit-fix-beton-rychleschnouci-25-kg/;www.prodej-plotu.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.prohasic.cz/boj-s-nakazou-sars-cov-2/respirator--tridy-ffp2-bez-vydechoveho-ventilu--skladem/;www.prohasic.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.prorozkos.cz/pro-ni/analni-kolik-silikonovy-s-krystalem-tmave-fialova/;www.prorozkos.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.pytelgranuli.cz/biokat--s-bianco-fresh-control-podestylka-10kg/;www.pytelgranuli.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.razak-shop.cz/ochranna-samolepka-3x4-cm-epow-8-2-mhz--barcode-deaktivovatelna-2/;www.razak-shop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.razo.cz/nahradni-sada-znaku-pro-sestavovaci-razitka-shiny-vyska-znaku-6-4-mm/;www.razo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rcmodelari.cz/axial-scx24-jeep-wrangler-jlu-crc-2019-1-24-4wd-rtr-zluty/;www.rcmodelari.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.redandroid.cz/tvrzene-sklo-note-9-pro/;www.redandroid.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;http://www.redbagshop.cz/ps4-chladici-stanice-slim-pro/;www.redbagshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.reded.cz/zbozi/ponorna-automaticka-vodarna-aquacup-ecorra-1200/;www.reded.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.refitshop.cz/refit-ice-gel/cannabis-konopi-230-ml/;www.refitshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.renopro.cz/mobilni-tryskaci-zarizeni-applied-20/;www.renopro.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.renovality.cz/doplnky-stravy/renohair-maximal-90-tablet-doplnek-stravy/;www.renovality.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.resacs.cz/lcd-hall-meric-napeti--proudu-a-kapacity-0-300v-0-400a/;www.resacs.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rescue-store.cz/odznaky/odznak-vseobecna-sestra/;www.rescue-store.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rewer.cz/spokey-volver-elektricka-kolobezka-cervena--kolecka-8-baterie-7-8-ah--do-120-kg-vystavene-zbozi/;www.rewer.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rigalli.cz/jacobsens-bakery-maslove-susenky-v-plechove-doze-avenue-400g/;www.rigalli.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rkdekorace.cz/aanzmany/dekorovana-vaza-s-jarnimi-kvetinami-a-motylky-v-ruzove-barve-70-cm/;www.rkdekorace.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rommar.cz/hybrid-solutions-keramicka-lestenka-a-vosk/;www.rommar.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rosefresh.cz/plet/ochranny-krem-proti-zareni-uva-uvb--biofresh-sport--75ml/;www.rosefresh.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rouska.cz/nano-respirator-vk-respipro-anti-covid-99-9-medeny-samosterilizacni/;www.rouska.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.royzo.cz/jezevcik-dlouhosrsty-hnedy-leskla-cedulka/;www.royzo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rozabel.cz/balzamy--kremy--masti-a-oleje/mangovy-krem-pro-suchou-a-citlivou-pokozku-60-ml-2/;www.rozabel.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.rychla-dodavka.cz/aqualine-simplex-eco-zavesna-skrinka-30x60x24cm-sime330/;www.rychla-dodavka.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.samoopalovacisvet.cz/he-shi-ultra-dark-express-liquid-tan-150ml/;www.samoopalovacisvet.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.saneo.cz/dlazba-verona--80x80-cm--slonovakost--lestena/;www.saneo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.sanitcare.cz/antigenni-rapid-test-ze-slin-na-covid-19--rapid-for/;www.sanitcare.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.shop-klimatizace.cz/chigo-mobilni-klimatizace-wide-marin-2-6-kw-r290/;www.shop-klimatizace.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.shopzarohem.eu/alu-lahev-na-piti-tlapkova-patrola-500ml-4/;www.shopzarohem.eu
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.sifos-obchod.cz/sifonove-lahve-soda-nahradni-dily/krytka-zavitu-pro-hlavu-sifonove-lahve-soda-9106/;www.sifos-obchod.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.siti-sen.cz/prosteradlo-sedef-ruzove/;www.siti-sen.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.skier.cz/obuv/lowa-sirkos-evo-gtx-lo-lady-anthracite-berry/;www.skier.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.skvele.cz/kominove-digestore-ostruvkove/odsavac-par-cata-isla-vega-vl3-nerez-ostruvkova-600-2/;www.skvele.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.slevnuj.cz/kartace-a-hrebeny--zastrihovace--zehlicky-na-vlasy/beurer-hde33--vysousec-vlasu-elle-by-beure/;www.slevnuj.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.slovackamostarna.cz/vinne-telove-mleko-frankovka-rose/;www.slovackamostarna.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.smartomat.cz/smartomat-silentband-2-cerna/;www.smartomat.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.smnaradi.cz/dilna-a-stavebni-technika/rezacka-s-vykruzovacem-mt526-8a-650-mm/;www.smnaradi.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.spalek-ski.cz/boty-2/boty-na-bezky-fischer-xc-comfort-pro-my-style/;www.spalek-ski.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.sport99.cz/sport-in-line-brusleni-koleckove-brusle-2/koleckove-brusle-nils-extreme-nh18122-4v1-fialove/;www.sport99.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.sportaczech.cz/detska-cepice-fleecova-spadena--sharp-kluk/;www.sportaczech.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.standswood.cz/podstavce-a-stojany/podstavec-pod-monitor-10/;www.standswood.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.steamshop.cz/stavebnice/45401-lego-education-bricq--vek-6-10-/;www.steamshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.stencl.cz/zavesna-sklicka/predlohy-na-malovani-na-sklo-s-vyvysenou-konturou-zviratka-domaci-zviratka/;www.stencl.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.stesti-zdravi.cz/kojenecka-obuv/yo-zateplene-capacky--kojenecke-boticky-tenisky-na-suchy-zip-chlapecke/;www.stesti-zdravi.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.styl-kov.cz/domovni-cislo-tabulka-lakovana-12/;www.styl-kov.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.superplechacek.cz/keramicky-hrnecek-s-jednorozcem-2-320-ml/;www.superplechacek.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.svet-drezu.cz/drezova-baterie-sinks-legenda-s-metalblack/;www.svet-drezu.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.svetzarovek.eu/led-pasek-24v-600-20w-vnitrni-zaruka-3-roky-denni-bila/;www.svetzarovek.eu
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.svickymatys.eu/akce-slevy/2-1-zdarma-sada-aroma-vosku-a-cajovych-svicek--svezest-alpskych-vrchu/;www.svickymatys.eu
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.sweetliving.cz/jidelni-zidle/jidelni-zidle-calounena-s-dekorativnim-prositim--cervena-dcl442-red4/;www.sweetliving.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.swim-fit-yoga.cz/esencialni-olej-do-aromadifuzeru-eukalyptus/;www.swim-fit-yoga.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.tejpovani.cz/temtex-kinesio-tape-classic--oranzova-tejpovaci-paska-5cm-x-5m/;www.tejpovani.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.teto-design.cz/police-na-auticka-motiv-autobus-anglie-prava-2/;www.teto-design.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.textilgalanterie-domecek.cz/teplaky-do-patentu-kamil-tmave-seda/;www.textilgalanterie-domecek.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.tiniana.cz/naramek-z-lavovych-kamenu-a-jemne-oranzoveho-jaspisu/;www.tiniana.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.tinystar.cz/mantinel-180-cm-ptaci-zpev/;www.tinystar.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.topdite.cz/bundy--kabaty-vesty-10/us-polo-assn-divci-modra-vesticka-4t/;www.topdite.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.topgranulka.cz/nutrilove-granule-pes--citlive-traveni--sensitive--jehne-ryze-12kg/;www.topgranulka.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.topkuze.cz/do-ruky-na-rameno/kozena-kabelka-pyt-kros-21-tmave-hneda/;www.topkuze.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.toysimply.cz/hracky-dle-veku/svitilna-a-promitacka-pohadek/;www.toysimply.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.trendi.cz/halenka-isla/?parameterValueId=240;www.trendi.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.trigyshop.cz/podzemni-nadrze/nadrz-na-destovou-vodu-spartakus-8000-l/;www.trigyshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.tupeskakeramika.cz/korenky/sada-korenek-s-rucne-malovanym-korenim/;www.tupeskakeramika.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.tvdigitalne.cz/dalkovy-ovladac-vu-bluetooth-ir100/;www.tvdigitalne.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;http://www.tweezers.cz/kleste-na-nehty-s-nastrojem-na-upravu-kuze-kolem-nehtu-mr-green/;www.tweezers.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.uklizimeseuronou.cz/pohlcovac-pachu-do-odpadkoveho-kose--250-ml/;www.uklizimeseuronou.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.unicooltech.cz/smerove-a-brzdove-svetlo-na-kolo-carry-bright-cerna/;www.unicooltech.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.uniqnabytek.cz/luxusni-kozena-postel-200x200-sunshine-lux--cerna-2/;www.uniqnabytek.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.upejska.cz/psi/farm-fresh-lamb-rabbit-with-sweet-potato-plum-800g/;www.upejska.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vapka-eshop.cz/nilfisk-premium-190-12-power-eu/;www.vapka-eshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.victos.cz/kabelky/damska-kabelka-emporio-armani-y3d153-yfg5e-85173/;www.victos.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vinoecuore.cz/querceto-vernaccia-di-san-gimignano-2016/;www.vinoecuore.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.viviencosmetics.cz/kondicionery-a-masky/balzam-na-vlasy-s-arganovym-olejem/;www.viviencosmetics.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vrabelovaeshop.cz/motorova-pila-ms-261-c-m/;www.vrabelovaeshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vropap.cz/sacky-do-vysavacu/eta-unibag-textilni-sacky-do-vysavace--unibag-/;www.vropap.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vseproohare.cz/nobby-mansestrova-hracka-pro-psa-pejsek-18-cm/;www.vseproohare.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.vyprodejpovleceni.cz/hotelova-povleceni/hotelove-povleceni-atlas-gradl-bile-2-cm-prouzek-mykana-bavlna/;www.vyprodejpovleceni.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.w40k.cz/warhammer-40-000--chaos-space-marine-helbrute/;www.w40k.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.walteco.cz/trojita-police-rusticline/;www.walteco.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.windsurfingkarlin.cz/kite-nafukovaci/nafukovaci-kite-rrd-emotion-mk3-orange-graay/;www.windsurfingkarlin.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.withus.cz/damske-kabelky/kabelka-replay-with-shoulder-strap-cerna/;www.withus.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.witova.cz/egyptische-erde--gold-kabuki-brush/;www.witova.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.wux-naramky.cz/minimalisticky-macrame/minimalisticky-cerny--naramek-se-zlatym-koralkem/;www.wux-naramky.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.yesshop.cz/chranic-pod-retez-crussis-10-12x25-cm/;www.yesshop.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.yoo.cz/nafukovaci-panna-african-queen/;www.yoo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zahradajezek.cz/polykarbonatove-obloukove-skleniky/zahradni-sklenik-z-polykarbonatu-gardentec-classic-6/;www.zahradajezek.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zdravelahve.cz/celonerezova-termolahev-aspen-eco-vessel-470-ml-rose-gold/;www.zdravelahve.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zebriky-tmt.cz/sklolaminatovy-zebrik-stafle-6-naslapu/;www.zebriky-tmt.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zelene-zdravicko.cz/chlorella-fresh/;www.zelene-zdravicko.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zidleprodeti.cz/borovicova-zidlicka-drewex-antonin-medvidek-a-motylek-seda/;www.zidleprodeti.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zigimarket.cz/darkove-sady-autokosmetika/darkova-sada-interier-sheron/;www.zigimarket.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zigmundo.cz/tubusy/mix-tubusu-popcorn-750g-original-mandle-mlecna/;www.zigmundo.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zijtekvalitne.cz/podlozky-pro-polohovani/pratelne-kluzne-podlozky-slide-sheets-pro-polohovani-a-prevenci-dekubitu-k-vicenasobnemu-pouziti/;www.zijtekvalitne.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.zlutyobchod.cz/davkovace-na-toaletni-papir/merida-zasobnik-na-toaletni-papir-skladany-merida-unique-orange-line-mat/;www.zlutyobchod.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.znackove-cocky.cz/roztok-solocare-aqua-360-ml/;www.znackove-cocky.cz
Ostatní zákazníci také nakoupili;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.znackovenadobi.cz/sklenene-dozy-kilner/kilner-skleneny-napojovy-automat-s-kohoutekm-8-0-l/;www.znackovenadobi.cz
Ostatní zákazníci také nakoupili:;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.gamisport.cz/p/152020-triko-salewa-puez-melange-hybrid-dry-m-s-s-tee-27877-8989/;www.gamisport.cz
Ostatní zákazníci také nakoupili:;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.nosferatu.cz/p/122798-boty-dr-martens-8-dirkove-1460-green-smooth-dm10072310-dm11822207-poskozene-/;www.nosferatu.cz
Ostatní zákazníci také nakoupili:;In a popup;Misdirection;Pressured Selling;Product Detail;??;https://www.willsoor.cz/p/11896-panske-polo-tricko-cervene-barvy-s-tmave-modrymi-puntikovanymi-prvky/;www.willsoor.cz
POSLEDNÍ 3 LAHVE;;Scarcity;Low-stock Message;Product Detail;??;http://www.tichavina.cz/eshop/nemecka-vina/rudesheimer-berg-rottland-erstes-gewachs-2016-detail-vina;www.tichavina.cz
PRO POŠTOVNÉ ZDARMA STAČÍ PŘIKOUPIT;;Misdirection;Pressured Selling;Cart Detail;No;https://av.ony.cz/nakupni-kosik/;av.ony.cz
Pojištění zásilky Jistota doručení, při ztrátě či poškození zboží. V případě reklamace způsobené přepravou garantujeme kladné vyřízení.;Preselected insurance;Sneaking;Sneak into Basket;Checkout Process;No;https://www.vedop.cz/kosik;www.vedop.cz
Pokud nakoupíte ještě alespoň za 1 125,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;http://www.thecrystal.cz/?action=detail&id=ID26&catg=10;www.thecrystal.cz
Pokud nakoupíte ještě alespoň za 180,00 CZK budete mít dopravu zdarma.;In;Misdirection;Pressured Selling;Cart Detail;No;http://eshop.sservis.cz/?action=detail&id=ID388&catg=120;eshop.sservis.cz
Pokud nakoupíte ještě alespoň za 2 980,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;https://www.svet-textilu.cz/?action=detail&id=ID10640&catg=0;www.svet-textilu.cz
Pokud nakoupíte ještě alespoň za 3 963,00 CZK budete mít dopravu zdarma.;;Misdirection;Pressured Selling;Cart Detail;No;http://www.textilnidoplnky.cz/?action=detail&id=ID160&catg=21;www.textilnidoplnky.cz
